Name,Award / Degree,Current Department,Current College or Division,Active Concentrations-CHE Approved
"Economics, BS",Bachelor of Science,Department of Economics,College of Business,
"Economics, MA",Master of Arts,Department of Economics,College of Business,
"Economics, PhD",Doctor of Philosophy,Department of Economics,College of Business,
"Political Science, BA",Bachelor of Art,Department of Political Science,"""College of Behavioral, Social and Health Sciences""",
"Political Science, BS",Bachelor of Science,Department of Political Science,"""College of Behavioral, Social and Health Sciences""","American Politics (AMPO), Global Politics (GLPO), Political Economy (POEC), Public Administration (PADM), Public Policy (PUPO)"
"Sociology, BA",Bachelor of Art,"""Department of Sociology, Anthropology & Criminal Justice""","""College of Behavioral, Social and Health Sciences""",Community Studies (E015)
"Sociology, BS",Bachelor of Science,"""Department of Sociology, Anthropology & Criminal Justice""","""College of Behavioral, Social and Health Sciences""",Community Studies (E015)
"Social Science, MS",Master of Science,"""Department of Sociology, Anthropology & Criminal Justice""","""College of Behavioral, Social and Health Sciences""",
"Graphic Communications, BS",Bachelor of Science,Department of Graphic Communications,College of Business,
"Graphic Communications, MS",Master of Science,Department of Graphic Communications,College of Business,
"World Cinema, BA",Bachelor of Art,Department of Interdisciplinary Studies,College of Arts and Humanities,
"Visual Arts, BFA",Bachelor of Fine Arts,Department of Art,"""College of Architecture, Arts and Construction""",
"Visual Arts, MFA",Master of Fine Arts,Department of Art,"""College of Architecture, Arts and Construction""",
"Performing Arts, BA",Bachelor of Art,Department of Performing Arts,College of Arts and Humanities,"Audio Technology (AUDI), Music (MUSI), Theatre (THEA)"
"Clinical and Translational Research, Post Master Certificate",Certificate-Post Master,Department of Public Health Sciences,"""College of Behavioral, Social and Health Sciences""",
"Global Health in Low Resource Countries, Baccalaureate Certificate",Certificate-Baccalaureate,School of Nursing,"""College of Behavioral, Social and Health Sciences""",
"Applied Health Research and Evaluation, MS",Master of Science,Department of Public Health Sciences,"""College of Behavioral, Social and Health Sciences""",Non-thesis option (N/A)
"Applied Health Research and Evaluation, PhD",Doctor of Philosophy,Department of Public Health Sciences,"""College of Behavioral, Social and Health Sciences""",
"Biomedical Data Science and Informatics (Joint with MUSC), PhD",Doctor of Philosophy,School of Computing,"""College of Engineering, Computing and Applied Sciences""",
"Biomedical Data Science and Informatics, MS",Master of Science,School of Computing,"""College of Engineering, Computing and Applied Sciences""",
"Nursing (RN to BSN Completion), BS",Bachelor of Science,School of Nursing,"""College of Behavioral, Social and Health Sciences""",
"Nursing Generic (No RN), BS",Bachelor of Science,School of Nursing,"""College of Behavioral, Social and Health Sciences""",
"Nursing Generic (No RN), BSN",Bachelor of Science Nursing,School of Nursing,"""College of Behavioral, Social and Health Sciences""",
"Leadership and Innovation in Health + Design, Post Master Certificate",Certificate-Post Master,School of Nursing,"""College of Behavioral, Social and Health Sciences""",
"Nursing, MS",Master of Science,School of Nursing,"""College of Behavioral, Social and Health Sciences""","CNS-Maternal/Child/Adolescent (CAD), CNS-Adult/Gerontology (ADGE), Nursing Education (NED)"
"Nursing Practice, DNP",Doctor of Nursing Practice,School of Nursing,"""College of Behavioral, Social and Health Sciences""","Family Nurse Practitioner - Primary Care (FNP), Adult-Gerontology Nurse Practitioner - Primary Care  (AGNP), Pediatric Nurse Practitioner - Primary Care (PNP), Health Systems Leadership (HSL), Post Masters DNP (PMAS)"
"Health Science, BS",Bachelor of Science,Department of Public Health Sciences,"""College of Behavioral, Social and Health Sciences""","Health Promotion and Behavior (HPB), Health Services Administration (HSAD), Pre-Professional Health Studies (PPHL)"
"Public Health, Certificate",Certificate,Department of Public Health Sciences,"""College of Behavioral, Social and Health Sciences""",
"Business Administration, MBA",Master of Business Administration,Master of Business Administration Programs,College of Business,"Health Services (N/A), Entrepreneurship and Innovation (ENIN), Business Analytics (BUAN), Digital Brand Communication (DBC)"
"Management, BS",Bachelor of Science,Department of Management,College of Business,
"Technology Entrepreneurship, Post Master Certificate",Certificate-Post Master,Master of Business Administration Programs,College of Business,
"Business Administration, PhD",Doctor of Philosophy,Department of Management,College of Business,"Executive Leadership (EXLE), Entrepreneurship (ENTR), Information Systems (INSY), Organizational Behavior (ORBE), Strategic ManagemenT (STMA), Supply Chain and Operations Management (SCOM)"
"Management, MS",Master of Science,Department of Management,College of Business,
"Non-Profit Leadership, Certificate",Certificate,"""Department of Parks, Recreation, & Tourism Management""","""College of Behavioral, Social and Health Sciences""",
"Transportation Safety Administration, MTSA",Master of Transportation Safety Administration,Institute for Global Road Safety & Security,The Graduate School,
"Accounting, BS",Bachelor of Science,School of Accountancy,College of Business,
"Accounting, MPAcc",Master of Professional Accountancy,School of Accountancy,College of Business,
"Financial Management, BS",Bachelor of Science,Department of Finance,College of Business,
"Human Resources Development, MHRD",Master of Human Resource Development,Department of Education and Organization Leadership Development,College of Education,"Athletic Leadership (AL), Comprehensive HRD (COMP), Organization Development and Change (ORGD), Digital Learning and Development (DIGL), Learning Leadership (LRNL)"
"Marketing, BS",Bachelor of Science,Department of Marketing,College of Business,"Research and Insights (E029), Advertising and Media (E030), Experiential Marketing (E032), Sales (E031), General Marketing (E033)"
"Sales, Baccalaureate Certificate",Certificate-Baccalaureate,Department of Marketing,College of Business,
"Marketing, MS",Master of Science,Department of Marketing,College of Business,
"Real Estate Development, MRED",Master of Real Estate Development,"""Nieri Family Department of Construction, Development and Planning""","""College of Architecture, Arts and Construction""",
"Sales Engineering, Baccalaureate Certificate",Certificate-Baccalaureate,Department of Industrial Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Construction Science and Management, BS",Bachelor of Science,"""Nieri Family Department of Construction, Development and Planning""","""College of Architecture, Arts and Construction""",Residential Construction (RCON)
"Construction Science and Management, MCSM",Master of Construction Science & Management,"""Nieri Family Department of Construction, Development and Planning""","""College of Architecture, Arts and Construction""",Non-thesis (N/A)
"Integrated Project Delivery, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,School of Architecture,"""College of Architecture, Arts and Construction""",
"History, BA",Bachelor of Art,Department of History and Geography,College of Arts and Humanities,"Digital History Emphasis (E206), Legal History  (E239), Global Security and Challenges (E240)"
"History, MA",Master of Arts,Department of History and Geography,College of Arts and Humanities,
"Economic Analytics, MS",Master of Science,Department of Economics,College of Business,
"Art, BA",Bachelor of Art,Department of Art,"""College of Architecture, Arts and Construction""","Studio Art (SART), Digital Art and Design Media (DADM), Art History (AHIS)"
"Literacy Coach, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Education and Human Development,College of Education,
"Literacy Specialist, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Education and Human Development,College of Education,
"Literacy Teacher, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Education and Human Development,College of Education,
"Beef Cow-Calf Management, Certificate",Certificate,Department of Animal & Veterinary Sciences,"""College of Agriculture, Forestry and Life Sciences""",
"MBA Business Analytics, Post-Baccalaureate Certificate",Certificate-Post Baccalaureate,Master of Business Administration Programs,College of Business,
"Thomas F. Chapman Leadership Certificate, Undergraduate Certificate",Certificate-Baccalaureate,Dean College of Business,College of Business,
"Orthopedic Medical Device Product Specialist, Baccalaureate Certificate",Certificate-Baccalaureate,Department of Bioengineering,"""College of Engineering, Computing and Applied Sciences""",
"Digital Technologies and Construction Automation, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Civil Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Design and Computational Modeling of Geotechnical Systems, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Civil Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Human Capital Education and Development, BS",Bachelor of Science,Department of Education and Organization Leadership Development,College of Education,
"Medical Device Reprocessing, MS",Master of Science,Department of Bioengineering,"""College of Engineering, Computing and Applied Sciences""",
"Applied Computational Mechanical Engineering, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Mechanical Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Autonomous & Robotic Systems, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Mechanical Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Mechanical Engineering Certificate in Advanced Manufacturing Processes, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Mechanical Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Futures of Transportation Engineering, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Civil Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Water Resources Engineering, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Civil Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Resilient Urban Design, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,School of Architecture,"""College of Architecture, Arts and Construction""",
Wilbur O. and Ann Powers College of Business Leadership Certificate,Certificate-Baccalaureate,Dean College of Business,College of Business,
"Applied Computing, MAC",Master of Applied Computing,School of Computing,"""College of Engineering, Computing and Applied Sciences""","Artificial Intelligence and Machine Learning (AIML), Cybersecurity (CYBE), Data Science (DASC), Human Computer Interaction (HCIT), Software Engineering (SFEN), Visual Computing (VCOM)"
"Digital History, PhD",Doctor of Philosophy,Department of History and Geography,College of Arts and Humanities,
"Medical Biophysics, MS",Master of Science,Department of Physics and Astronomy,College of Science,
"Resilient Systems, MS",Master of Science,,The Graduate School,
"Medical Biophysics, PhD",Doctor of Philosophy,Department of Physics and Astronomy,College of Science,
"Modern Languages in Education, BA",Bachelor of Art,Department of Teaching and Learning,College of Education,"American Sign Language (ASL), French (FRCH), Spanish (SPAN), Non-Certification (N/A), Teacher Certification (N/A)"
"Modern Languages in Education, MAT",Master of Arts in Teaching,Department of Teaching and Learning,College of Education,"American Sign Language (ASL), French (FRCH), Spanish (SPAN)"
"Teacher Residency, Modern Languages Education, MAT ",Master of Arts in Teaching,Department of Teaching and Learning,College of Education,"American Sign Language (ASL), French (FRCH), Spanish (SPAN)"
"Architecture, Society and the City, Post-Baccalaureate Certificate",Certificate-Post Baccalaureate,School of Architecture,"""College of Architecture, Arts and Construction""",
"Biomedical Regulatory and Quality Science, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,Department of Bioengineering,"""College of Engineering, Computing and Applied Sciences""",
"Automotive Engineering, BS",Bachelor of Science,Department of Automotive Engineering,"""College of Engineering, Computing and Applied Sciences""",
"Roofing Industry Management, Post Baccalaureate Certificate",Certificate-Post Baccalaureate,"""Nieri Family Department of Construction, Development and Planning""","""College of Architecture, Arts and Construction""",
"Construction Science and Management, PhD",Doctor of Philosophy,"""Nieri Family Department of Construction, Development and Planning""","""College of Architecture, Arts and Construction""",
"Public Health, MPH",Master of Public Health,Department of Public Health Sciences,"""College of Behavioral, Social and Health Sciences""","Rural and Community Health (RCH), Outcomes and Quality Improvement (OQI)"
"Data Science, BS",Bachelor of Science,School of Mathematical and Statistical Sciences,College of Science,
